date,min,avg,max
2024-06-01,-0.08,-0.036666665,0.02
2024-06-06,0.02,0.039791666,0.120000005
2024-06-11,-0.08,-0.05520833,0.02
2024-06-16,-0.08,0.007499999,0.02
2024-06-21,-0.08,-0.051041663,0.02
2024-06-26,0.02,0.02,0.02
